Product code,Bureau of Meteorology station number,Year,Month,Day,day_t,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,94020,2021,1,1,1,20.2,1,Y
IDCJAC0010,94020,2021,1,2,2,22,1,Y
IDCJAC0010,94020,2021,1,3,3,22.5,1,Y
IDCJAC0010,94020,2021,1,4,4,22.3,1,Y
IDCJAC0010,94020,2021,1,5,5,23.8,1,Y
IDCJAC0010,94020,2021,1,6,6,17.9,1,Y
IDCJAC0010,94020,2021,1,7,7,21.9,1,Y
IDCJAC0010,94020,2021,1,8,8,24,1,Y
IDCJAC0010,94020,2021,1,9,9,24,1,Y
IDCJAC0010,94020,2021,1,10,10,23,1,Y
IDCJAC0010,94020,2021,1,11,11,38,1,Y
IDCJAC0010,94020,2021,1,12,12,20.2,1,Y
IDCJAC0010,94020,2021,1,13,13,25,1,Y
IDCJAC0010,94020,2021,1,14,14,21.5,1,Y
IDCJAC0010,94020,2021,1,15,15,17.2,1,Y
IDCJAC0010,94020,2021,1,16,16,17,1,Y
IDCJAC0010,94020,2021,1,17,17,18.5,1,Y
IDCJAC0010,94020,2021,1,18,18,19.7,1,Y
IDCJAC0010,94020,2021,1,19,19,16.8,1,Y
IDCJAC0010,94020,2021,1,20,20,21.6,1,Y
IDCJAC0010,94020,2021,1,21,21,20.5,1,Y
IDCJAC0010,94020,2021,1,22,22,20.8,1,Y
IDCJAC0010,94020,2021,1,23,23,26.8,1,Y
IDCJAC0010,94020,2021,1,24,24,25.3,1,Y
IDCJAC0010,94020,2021,1,25,25,30.4,1,Y
IDCJAC0010,94020,2021,1,26,26,19.1,1,Y
IDCJAC0010,94020,2021,1,27,27,17,1,Y
IDCJAC0010,94020,2021,1,28,28,19,1,Y
IDCJAC0010,94020,2021,1,29,29,20.2,1,Y
IDCJAC0010,94020,2021,1,30,30,21.7,1,Y
IDCJAC0010,94020,2021,1,31,31,20.2,1,Y
IDCJAC0010,94020,2021,2,1,32,21.9,1,Y
IDCJAC0010,94020,2021,2,2,33,20.1,1,Y
IDCJAC0010,94020,2021,2,3,34,20.2,1,Y
IDCJAC0010,94020,2021,2,4,35,25.3,1,Y
IDCJAC0010,94020,2021,2,5,36,24,1,Y
IDCJAC0010,94020,2021,2,6,37,25,1,Y
IDCJAC0010,94020,2021,2,7,38,16.5,1,Y
IDCJAC0010,94020,2021,2,8,39,17.3,1,Y
IDCJAC0010,94020,2021,2,9,40,17.3,1,Y
IDCJAC0010,94020,2021,2,10,41,21.8,1,Y
IDCJAC0010,94020,2021,2,11,42,21.1,1,Y
IDCJAC0010,94020,2021,2,12,43,21.2,1,Y
IDCJAC0010,94020,2021,2,13,44,21.7,1,Y
IDCJAC0010,94020,2021,2,14,45,23.6,1,Y
IDCJAC0010,94020,2021,2,15,46,18.7,1,Y
IDCJAC0010,94020,2021,2,16,47,23.1,1,Y
IDCJAC0010,94020,2021,2,17,48,25.3,1,Y
IDCJAC0010,94020,2021,2,18,49,27.5,1,Y
IDCJAC0010,94020,2021,2,19,50,33.7,1,Y
IDCJAC0010,94020,2021,2,20,51,19.5,1,Y
IDCJAC0010,94020,2021,2,21,52,22,1,Y
IDCJAC0010,94020,2021,2,22,53,19.4,1,Y
IDCJAC0010,94020,2021,2,23,54,18.3,1,Y
IDCJAC0010,94020,2021,2,24,55,20.8,1,Y
IDCJAC0010,94020,2021,2,25,56,17.8,1,Y
IDCJAC0010,94020,2021,2,26,57,19.6,1,Y
