Product code,Bureau of Meteorology station number,Year,Month,Day,day_t,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,94020,2021,1,1,1,11,1,Y
IDCJAC0011,94020,2021,1,2,2,8.9,1,Y
IDCJAC0011,94020,2021,1,3,3,11,1,Y
IDCJAC0011,94020,2021,1,4,4,12.1,1,Y
IDCJAC0011,94020,2021,1,5,5,10.4,1,Y
IDCJAC0011,94020,2021,1,6,6,10.4,1,Y
IDCJAC0011,94020,2021,1,7,7,10.3,1,Y
IDCJAC0011,94020,2021,1,8,8,11.7,1,Y
IDCJAC0011,94020,2021,1,9,9,9,1,Y
IDCJAC0011,94020,2021,1,10,10,9.3,1,Y
IDCJAC0011,94020,2021,1,11,11,10.2,1,Y
IDCJAC0011,94020,2021,1,12,12,13.3,1,Y
IDCJAC0011,94020,2021,1,13,13,7.5,1,Y
IDCJAC0011,94020,2021,1,14,14,12.1,1,Y
IDCJAC0011,94020,2021,1,15,15,6.3,1,Y
IDCJAC0011,94020,2021,1,16,16,8.8,1,Y
IDCJAC0011,94020,2021,1,17,17,7.5,1,Y
IDCJAC0011,94020,2021,1,18,18,11.7,1,Y
IDCJAC0011,94020,2021,1,19,19,6.7,1,Y
IDCJAC0011,94020,2021,1,20,20,3.4,1,Y
IDCJAC0011,94020,2021,1,21,21,4.8,1,Y
IDCJAC0011,94020,2021,1,22,22,9,1,Y
IDCJAC0011,94020,2021,1,23,23,10.9,1,Y
IDCJAC0011,94020,2021,1,24,24,12.5,1,Y
IDCJAC0011,94020,2021,1,25,25,13.6,1,Y
IDCJAC0011,94020,2021,1,26,26,12.8,1,Y
IDCJAC0011,94020,2021,1,27,27,8.8,1,Y
IDCJAC0011,94020,2021,1,28,28,8.5,1,Y
IDCJAC0011,94020,2021,1,29,29,12.4,1,Y
IDCJAC0011,94020,2021,1,30,30,12.8,1,Y
IDCJAC0011,94020,2021,1,31,31,8.9,1,Y
IDCJAC0011,94020,2021,2,1,32,9.8,1,Y
IDCJAC0011,94020,2021,2,2,33,11.1,1,Y
IDCJAC0011,94020,2021,2,3,34,6.9,1,Y
IDCJAC0011,94020,2021,2,4,35,11.3,1,Y
IDCJAC0011,94020,2021,2,5,36,12.8,1,Y
IDCJAC0011,94020,2021,2,6,37,16.8,1,Y
IDCJAC0011,94020,2021,2,7,38,10.8,1,Y
IDCJAC0011,94020,2021,2,8,39,8.9,1,Y
IDCJAC0011,94020,2021,2,9,40,9.1,1,Y
IDCJAC0011,94020,2021,2,10,41,5.4,1,Y
