Product code,Bureau of Meteorology station number,Year,Month,Day,day_t,Daily global solar exposure (MJ/m*m)
IDCJAC0016,92157,2021,1,1,1,9.9
IDCJAC0016,92157,2021,1,2,2,28
IDCJAC0016,92157,2021,1,3,3,13
IDCJAC0016,92157,2021,1,4,4,11.9
IDCJAC0016,92157,2021,1,5,5,22.1
IDCJAC0016,92157,2021,1,6,6,15.9
IDCJAC0016,92157,2021,1,7,7,28.4
IDCJAC0016,92157,2021,1,8,8,19.6
IDCJAC0016,92157,2021,1,9,9,25.9
IDCJAC0016,92157,2021,1,10,10,19.4
IDCJAC0016,92157,2021,1,11,11,26.8
IDCJAC0016,92157,2021,1,12,12,28.6
IDCJAC0016,92157,2021,1,13,13,27.2
IDCJAC0016,92157,2021,1,14,14,18.2
IDCJAC0016,92157,2021,1,15,15,6.6
IDCJAC0016,92157,2021,1,16,16,22.2
IDCJAC0016,92157,2021,1,17,17,22.6
IDCJAC0016,92157,2021,1,18,18,25.8
IDCJAC0016,92157,2021,1,19,19,25.4
IDCJAC0016,92157,2021,1,20,20,30.2
IDCJAC0016,92157,2021,1,21,21,22.5
IDCJAC0016,92157,2021,1,22,22,18.2
IDCJAC0016,92157,2021,1,23,23,26.6
IDCJAC0016,92157,2021,1,24,24,23.8
IDCJAC0016,92157,2021,1,25,25,18
IDCJAC0016,92157,2021,1,26,26,22.1
IDCJAC0016,92157,2021,1,27,27,10.8
IDCJAC0016,92157,2021,1,28,28,9.5
IDCJAC0016,92157,2021,1,29,29,4
IDCJAC0016,92157,2021,1,30,30,18.2
IDCJAC0016,92157,2021,1,31,31,17.2
IDCJAC0016,92157,2021,2,1,32,15.3
IDCJAC0016,92157,2021,2,2,33,24.9
IDCJAC0016,92157,2021,2,3,34,15.7
IDCJAC0016,92157,2021,2,4,35,18.9
IDCJAC0016,92157,2021,2,5,36,3.2
IDCJAC0016,92157,2021,2,6,37,19.1
IDCJAC0016,92157,2021,2,7,38,20
IDCJAC0016,92157,2021,2,8,39,17.3
IDCJAC0016,92157,2021,2,9,40,10.9
IDCJAC0016,92157,2021,2,10,41,26.7
IDCJAC0016,92157,2021,2,11,42,15.5
IDCJAC0016,92157,2021,2,12,43,25.6
IDCJAC0016,92157,2021,2,13,44,20
IDCJAC0016,92157,2021,2,14,45,24.3
IDCJAC0016,92157,2021,2,15,46,5.5
IDCJAC0016,92157,2021,2,16,47,25.4
IDCJAC0016,92157,2021,2,17,48,24.1
IDCJAC0016,92157,2021,2,18,49,25
IDCJAC0016,92157,2021,2,19,50,24.1
IDCJAC0016,92157,2021,2,20,51,13.1
IDCJAC0016,92157,2021,2,21,52,16.2
IDCJAC0016,92157,2021,2,22,53,19
IDCJAC0016,92157,2021,2,23,54,14.8
IDCJAC0016,92157,2021,2,24,55,20.8
IDCJAC0016,92157,2021,2,25,56,12.7
IDCJAC0016,92157,2021,2,26,57,18.1
IDCJAC0016,92157,2021,2,27,58,16.3
IDCJAC0016,92157,2021,2,28,59,20.5
IDCJAC0016,92157,2021,3,1,60,6.9
IDCJAC0016,92157,2021,3,2,61,19.2
IDCJAC0016,92157,2021,3,3,62,14
IDCJAC0016,92157,2021,3,4,63,20.6
IDCJAC0016,92157,2021,3,5,64,14
IDCJAC0016,92157,2021,3,6,65,16.4
IDCJAC0016,92157,2021,3,7,66,14.7
IDCJAC0016,92157,2021,3,8,67,10.9
IDCJAC0016,92157,2021,3,9,68,12.3
IDCJAC0016,92157,2021,3,10,69,20
IDCJAC0016,92157,2021,3,11,70,20
IDCJAC0016,92157,2021,3,12,71,16.7
IDCJAC0016,92157,2021,3,13,72,6.7
IDCJAC0016,92157,2021,3,14,73,18.4
IDCJAC0016,92157,2021,3,15,74,18.8
IDCJAC0016,92157,2021,3,16,75,17.1
IDCJAC0016,92157,2021,3,17,76,17.7
IDCJAC0016,92157,2021,3,18,77,11.8
IDCJAC0016,92157,2021,3,19,78,13.9
IDCJAC0016,92157,2021,3,20,79,13
IDCJAC0016,92157,2021,3,21,80,8.8
IDCJAC0016,92157,2021,3,22,81,7.6
IDCJAC0016,92157,2021,3,23,82,7.9
IDCJAC0016,92157,2021,3,24,83,1
IDCJAC0016,92157,2021,3,25,84,7.7
IDCJAC0016,92157,2021,3,26,85,13.7
IDCJAC0016,92157,2021,3,27,86,7.9
IDCJAC0016,92157,2021,3,28,87,11.3
IDCJAC0016,92157,2021,3,29,88,13.3
IDCJAC0016,92157,2021,3,30,89,14.5
IDCJAC0016,92157,2021,3,31,90,12.9
IDCJAC0016,92157,2021,4,1,91,8
IDCJAC0016,92157,2021,4,2,92,10.7
IDCJAC0016,92157,2021,4,3,93,15
IDCJAC0016,92157,2021,4,4,94,14.6
IDCJAC0016,92157,2021,4,5,95,13.8
IDCJAC0016,92157,2021,4,6,96,13.9
IDCJAC0016,92157,2021,4,7,97,14.2
IDCJAC0016,92157,2021,4,8,98,9.1
IDCJAC0016,92157,2021,4,9,99,10.8
IDCJAC0016,92157,2021,4,10,100,9.6
IDCJAC0016,92157,2021,4,11,101,7.4
IDCJAC0016,92157,2021,4,12,102,8.5
IDCJAC0016,92157,2021,4,13,103,9.1
IDCJAC0016,92157,2021,4,14,104,12.9
IDCJAC0016,92157,2021,4,15,105,10.5
IDCJAC0016,92157,2021,4,16,106,12.4
IDCJAC0016,92157,2021,4,17,107,9.5
IDCJAC0016,92157,2021,4,18,108,10.1
IDCJAC0016,92157,2021,4,19,109,9.5
IDCJAC0016,92157,2021,4,20,110,2.6
IDCJAC0016,92157,2021,4,21,111,11.7
IDCJAC0016,92157,2021,4,22,112,10.2
IDCJAC0016,92157,2021,4,23,113,7.5
IDCJAC0016,92157,2021,4,24,114,7.8
IDCJAC0016,92157,2021,4,25,115,8.2
IDCJAC0016,92157,2021,4,26,116,9.7
IDCJAC0016,92157,2021,4,27,117,10.7
IDCJAC0016,92157,2021,4,28,118,9.6
IDCJAC0016,92157,2021,4,29,119,7.5
IDCJAC0016,92157,2021,4,30,120,9.7
IDCJAC0016,92157,2021,5,1,121,8.9
IDCJAC0016,92157,2021,5,2,122,8.8
IDCJAC0016,92157,2021,5,3,123,3.5
IDCJAC0016,92157,2021,5,4,124,9.9
IDCJAC0016,92157,2021,5,5,125,9.7
IDCJAC0016,92157,2021,5,6,126,6.6
IDCJAC0016,92157,2021,5,7,127,8.2
IDCJAC0016,92157,2021,5,8,128,6.7
IDCJAC0016,92157,2021,5,9,129,9
IDCJAC0016,92157,2021,5,10,130,4.9
IDCJAC0016,92157,2021,5,11,131,6.6
IDCJAC0016,92157,2021,5,12,132,6.2
IDCJAC0016,92157,2021,5,13,133,2.3
IDCJAC0016,92157,2021,5,14,134,6.7
IDCJAC0016,92157,2021,5,15,135,8.3
IDCJAC0016,92157,2021,5,16,136,8.2
IDCJAC0016,92157,2021,5,17,137,8.3
IDCJAC0016,92157,2021,5,18,138,8.4
IDCJAC0016,92157,2021,5,19,139,3.6
IDCJAC0016,92157,2021,5,20,140,7.7
IDCJAC0016,92157,2021,5,21,141,8
IDCJAC0016,92157,2021,5,22,142,8
IDCJAC0016,92157,2021,5,23,143,7.3
IDCJAC0016,92157,2021,5,24,144,5.2
IDCJAC0016,92157,2021,5,25,145,1.6
IDCJAC0016,92157,2021,5,26,146,7.1
IDCJAC0016,92157,2021,5,27,147,5.8
IDCJAC0016,92157,2021,5,28,148,6.7
IDCJAC0016,92157,2021,5,29,149,4.1
IDCJAC0016,92157,2021,5,30,150,4.4
IDCJAC0016,92157,2021,5,31,151,7.4
IDCJAC0016,92157,2021,6,1,152,4.3
IDCJAC0016,92157,2021,6,2,153,6.7
IDCJAC0016,92157,2021,6,3,154,6.1
IDCJAC0016,92157,2021,6,4,155,7.3
IDCJAC0016,92157,2021,6,5,156,3.7
IDCJAC0016,92157,2021,6,6,157,5.6
IDCJAC0016,92157,2021,6,7,158,3.5
IDCJAC0016,92157,2021,6,8,159,3.2
IDCJAC0016,92157,2021,6,9,160,2
IDCJAC0016,92157,2021,6,10,161,1.1
IDCJAC0016,92157,2021,6,11,162,1.1
IDCJAC0016,92157,2021,6,12,163,2.5
IDCJAC0016,92157,2021,6,13,164,3.1
IDCJAC0016,92157,2021,6,14,165,3.5
IDCJAC0016,92157,2021,6,15,166,4.1
IDCJAC0016,92157,2021,6,16,167,4.3
IDCJAC0016,92157,2021,6,17,168,2.4
IDCJAC0016,92157,2021,6,18,169,5.4
IDCJAC0016,92157,2021,6,19,170,6.2
IDCJAC0016,92157,2021,6,20,171,5.6
IDCJAC0016,92157,2021,6,21,172,6.8
IDCJAC0016,92157,2021,6,22,173,6.5
