site,depth_m,date_time,date,day_t,temp_C,I_lux,I_ppfd
Oakhampton,2,26/03/2021 07:48:00,26/03/2021,85,15.82747078,650.8800049,12.04128009
Oakhampton,2,26/03/2021 08:48:00,26/03/2021,85,14.36885738,2731.52002,50.53312036
Oakhampton,2,26/03/2021 09:48:00,26/03/2021,85,17.71508789,5898.240234,109.1174443
Oakhampton,2,26/03/2021 10:48:00,26/03/2021,85,17.97249031,19532.80078,361.3568145
Oakhampton,2,26/03/2021 11:48:00,26/03/2021,85,18.3156929,38625.28125,714.5677031
Oakhampton,2,26/03/2021 12:48:00,26/03/2021,85,18.61599541,41635.83984,770.2630371
Oakhampton,2,26/03/2021 13:48:00,26/03/2021,85,18.35859299,10664.95996,197.3017593
Oakhampton,2,26/03/2021 14:48:00,26/03/2021,85,18.70179749,33003.51953,610.5651113
Oakhampton,2,26/03/2021 15:48:00,26/03/2021,85,18.44439507,15365.12012,284.2547222
Oakhampton,2,26/03/2021 16:48:00,26/03/2021,85,18.3156929,5760,106.56
Oakhampton,2,26/03/2021 17:48:00,26/03/2021,85,18.18699265,5169.919922,95.64351855
Oakhampton,2,26/03/2021 18:48:00,26/03/2021,85,17.97249031,1076.47998,19.91487964
Oakhampton,2,26/03/2021 19:48:00,26/03/2021,85,17.88669014,0,0
Oakhampton,2,26/03/2021 20:48:00,26/03/2021,85,17.80088806,0,0
Oakhampton,2,26/03/2021 21:48:00,26/03/2021,85,17.80088806,0,0
Oakhampton,2,26/03/2021 22:48:00,26/03/2021,85,17.75798798,0,0
Oakhampton,2,26/03/2021 23:48:00,26/03/2021,85,17.75798798,0,0
Oakhampton,2,27/03/2021 00:48:00,27/03/2021,86,17.71508789,0,0
Oakhampton,2,27/03/2021 01:48:00,27/03/2021,86,17.75798798,0,0
Oakhampton,2,27/03/2021 02:48:00,27/03/2021,86,17.75798798,0,0
Oakhampton,2,27/03/2021 03:48:00,27/03/2021,86,17.67218781,0,0
Oakhampton,2,27/03/2021 04:48:00,27/03/2021,86,17.62928772,0,0
Oakhampton,2,27/03/2021 05:48:00,27/03/2021,86,17.58638763,0,0
Oakhampton,2,27/03/2021 06:48:00,27/03/2021,86,17.54348564,0.639999986,0.01184
Oakhampton,2,27/03/2021 07:48:00,27/03/2021,86,17.58638763,111,2.0535
Oakhampton,2,27/03/2021 08:48:00,27/03/2021,86,17.54348564,1650.560059,30.53536108
Oakhampton,2,27/03/2021 09:48:00,27/03/2021,86,17.80088806,9858.55957,182.3833521
Oakhampton,2,27/03/2021 10:48:00,27/03/2021,86,17.88669014,14402.55957,266.4473521
Oakhampton,2,27/03/2021 11:48:00,27/03/2021,86,17.75798798,8171.52002,151.1731204
Oakhampton,2,27/03/2021 12:48:00,27/03/2021,86,18.10119057,20096,371.776
Oakhampton,2,27/03/2021 13:48:00,27/03/2021,86,18.3156929,26818.56055,496.1433701
Oakhampton,2,27/03/2021 14:48:00,27/03/2021,86,18.70179749,32235.51953,596.3571113
Oakhampton,2,27/03/2021 15:48:00,27/03/2021,86,18.05829048,7226.879883,133.6972778
Oakhampton,2,27/03/2021 16:48:00,27/03/2021,86,18.0153904,7925.759766,146.6265557
Oakhampton,2,27/03/2021 17:48:00,27/03/2021,86,18.10119057,8865.280273,164.0076851
Oakhampton,2,27/03/2021 18:48:00,27/03/2021,86,17.88669014,1303.680054,24.11808099
Oakhampton,2,27/03/2021 19:48:00,27/03/2021,86,17.80088806,0,0
Oakhampton,2,27/03/2021 20:48:00,27/03/2021,86,17.75798798,0,0
Oakhampton,2,27/03/2021 21:48:00,27/03/2021,86,17.75798798,0,0
Oakhampton,2,27/03/2021 22:48:00,27/03/2021,86,17.62928772,0,0
Oakhampton,2,27/03/2021 23:48:00,27/03/2021,86,17.50058556,0,0
Oakhampton,2,28/03/2021 00:48:00,28/03/2021,87,17.41478539,0,0
Oakhampton,2,28/03/2021 01:48:00,28/03/2021,87,17.50058556,0,0
Oakhampton,2,28/03/2021 02:48:00,28/03/2021,87,17.50058556,0,0
Oakhampton,2,28/03/2021 03:48:00,28/03/2021,87,17.50058556,0,0
Oakhampton,2,28/03/2021 04:48:00,28/03/2021,87,17.45768547,0,0
Oakhampton,2,28/03/2021 05:48:00,28/03/2021,87,17.32898521,0,0
Oakhampton,2,28/03/2021 06:48:00,28/03/2021,87,17.3718853,0,0
Oakhampton,2,28/03/2021 07:48:00,28/03/2021,87,17.3718853,1038.719971,19.21631946
Oakhampton,2,28/03/2021 08:48:00,28/03/2021,87,17.41478539,4696.319824,86.88191675
Oakhampton,2,28/03/2021 09:48:00,28/03/2021,87,17.58638763,9640.959961,178.3577593
Oakhampton,2,28/03/2021 10:48:00,28/03/2021,87,17.62928772,9249.280273,171.1116851
Oakhampton,2,28/03/2021 11:48:00,28/03/2021,87,17.80088806,8975.360352,166.0441665
Oakhampton,2,28/03/2021 12:48:00,28/03/2021,87,18.3156929,33884.16016,626.8569629
Oakhampton,2,28/03/2021 13:48:00,28/03/2021,87,18.6588974,32552.96094,602.2297773
Oakhampton,2,28/03/2021 14:48:00,28/03/2021,87,18.05829048,16194.55957,299.5993521
Oakhampton,2,28/03/2021 15:48:00,28/03/2021,87,17.75798798,5406.720215,100.024324
Oakhampton,2,28/03/2021 16:48:00,28/03/2021,87,17.88669014,12369.91992,228.8435186
Oakhampton,2,28/03/2021 17:48:00,28/03/2021,87,17.75798798,4788.47998,88.58687964
Oakhampton,2,28/03/2021 18:48:00,28/03/2021,87,17.62928772,448.6400146,8.299840271
Oakhampton,2,28/03/2021 19:48:00,28/03/2021,87,17.62928772,0,0
Oakhampton,2,28/03/2021 20:48:00,28/03/2021,87,17.58638763,0,0
Oakhampton,2,28/03/2021 21:48:00,28/03/2021,87,17.58638763,0,0
Oakhampton,2,28/03/2021 22:48:00,28/03/2021,87,17.54348564,0,0
Oakhampton,2,28/03/2021 23:48:00,28/03/2021,87,17.50058556,0,0
Oakhampton,2,29/03/2021 00:48:00,29/03/2021,88,17.45768547,0,0
Oakhampton,2,29/03/2021 01:48:00,29/03/2021,88,17.45768547,0,0
Oakhampton,2,29/03/2021 02:48:00,29/03/2021,88,17.45768547,0,0
Oakhampton,2,29/03/2021 03:48:00,29/03/2021,88,17.41478539,0,0
Oakhampton,2,29/03/2021 04:48:00,29/03/2021,88,17.3718853,0,0
